pos,Channel,Title,Uploaded,Views,Like,Dislike,Comment
216,MalumaVEVO,"Maluma - Cuatro Babys (Official Video) ft. Trap Capos, Noriel, Bryant Myers, Juhn",2016-10-14,907963976.0, 3117235,   721834,  329018
217,Migos ATL,Migos - Bad and Boujee ft Lil Uzi Vert [Official Video],2016-10-31,907810718.0, 5220995,   396026,  216567
218,JustinBieberVEVO,Justin Bieber - Beauty And A Beat ft. Nicki Minaj (Official Music Video),2012-10-12,906328083.0, 4822846,   845645,  566288
219,Clean Bandit,Clean Bandit - Symphony (feat. Zara Larsson) [Official Video],2017-03-17,905761651.0, 4865098,   200055,  156402
220,whitneyhoustonVEVO,Whitney Houston - I Will Always Love You,2010-09-28,904903852.0, 4714630,   183511,  206301
221,jbalvinVEVO,J Balvin - Si Tu Novio Te Deja Sola ft. Bad Bunny (Official Video),2017-03-04,903877548.0, 2917461,   246623,  111102
222,LosAngelesAzulesVEVO,Los Ángeles Azules - Mis Sentimientos ft. Ximena Sariñana (Live),2014-08-01,903476117.0, 1355909,   187416,   50704
223,Ed Sheeran,Ed Sheeran - Photograph (Official Music Video),2015-05-10,899708238.0, 4620291,   131271,  142093
224,Michel Teló,Michel Teló - Ai Se Eu Te Pego -  Video Oficial (Assim você me mata),2011-07-25,896924856.0, 2776391,   198424,  282786
225,RihannaVEVO,Rihanna - We Found Love ft. Calvin Harris,2011-10-20,890839958.0, 3083057,   163720,  194212
226,ChristianNodalVEVO,Christian Nodal - Adiós Amor (Video Oficial),2017-01-13,889143204.0, 2573349,   245786,   91378
227,marcanthonyVEVO,Marc Anthony - Vivir Mi Vida (Official Video),2013-09-10,882679225.0, 2002224,   171110,   63171
228,MileyCyrusVEVO,Miley Cyrus - We Can't Stop (Official Video),2013-06-19,881706128.0, 3824746, 1366530,  885912
229,reikVEVO,"Reik - Me Niego ft. Ozuna, Wisin",2018-02-16,881521511.0, 2862554,   223823,   85272
230,Zee Music Company,Mile Ho Tum - Reprise Version | Neha Kakkar | Tony Kakkar | Fever,2016-07-27,880002892.0, 4449703,   481398,  303798
231,ArianaGrandeVevo,Ariana Grande - no tears left to cry,2018-04-20,879782659.0, 6174567,   300651,  358665
232,El Reino Infantil,El Gallo y la Pata - Canciones de la Granja de Zenón 2,2014-03-15,879693163.0, 1521221,   870453,   25652
233,50CentVEVO,50 Cent - In Da Club (Int'l Version) [Official Video],2009-06-16,878636265.0, 3800753,   171947,  157425
234,T-Series,Guru Randhawa: High Rated Gabru Official Song | DirectorGifty | T-Series,2017-07-04,878464543.0, 3666709,   378708,  185340
235,Ed Sheeran,Ed Sheeran - Shape Of You [Official Lyric Video],2017-01-06,877066228.0, 4730445,   230393,  163649
236,DJKhaledVEVO,"DJ Khaled ft. Rihanna, Bryson Tiller - Wild Thoughts (Official Video)",2017-06-16,875073410.0, 4431135,   304282,  139303
237,XXXTENTACION,XXXTENTACION - SAD!,2018-03-02,873486812.0, 8597051,   185747,1056440
238,David Guetta,David Guetta & Showtek - Bad ft.Vassy (Lyrics Video),2014-04-10,873348267.0, 3495364,   163243,   91980
239,Ozuna,Ozuna - El Farsante (Audio Oficial) | Odisea,2017-07-03,873013331.0, 3339065,   219901,  171941
240,Bebe Rexha,Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video],2017-10-23,871329135.0, 3680410,   221820,   87978
241,EminemVEVO,Eminem - Without Me (Official Video),2009-06-16,868377576.0, 4959276,   159979,  205357
242,ShawnMendesVEVO,Shawn Mendes - There's Nothing Holdin' Me Back,2017-06-21,868111650.0, 5932994,   147745,  181596
243,ArianaGrandeVevo,Ariana Grande - Focus,2015-10-30,867284417.0, 4882837,   434877,  415842
244,jbalvinVEVO,"J Balvin - Safari ft. Pharrell Williams, BIA, Sky (Official Video)",2016-09-02,865538627.0, 2866524,   162824,   87386
245,CamilaCabelloVEVO,Camila Cabello - Havana (Official Music VIdeo) ft. Young Thug,2017-10-24,864528202.0, 8630212,   427442,  452174
246,RihannaVEVO,Rihanna - Stay ft. Mikky Ekko,2013-02-12,862000633.0, 3409216,   167069,  150520
247,MikeWillMadeitVEVO,"Mike WiLL Made-It - 23 ft. Miley Cyrus, Wiz Khalifa, Juicy J (Official Music Video)",2013-09-24,861064571.0, 4015630,   447841,  275656
248,KatyPerryVEVO,Katy Perry - Bon Appétit (Official) ft. Migos,2017-05-12,858278333.0, 4990628,   893778,  322142
249,LosAngelesAzulesVEVO,Los Ángeles Azules - Nunca Es Suficiente ft. Natalia Lafourcade (Live),2018-04-20,857800731.0, 2211152,   248184,   90553
250,Maroon5VEVO,Maroon 5 - One More Night (Official Music Video),2012-06-26,856247708.0, 3171038,   100989,  120686
251,Bruno Mars,Bruno Mars - When I Was Your Man (Official Video),2013-02-05,855273122.0, 3914293,   116329,  151392
252,RomeoSantosVEVO,Romeo Santos - Eres Mía,2014-07-16,853408342.0, 2151565,   166766,   56558
253,ChinoNachoVEVO,Chino & Nacho - Me Voy Enamorando ft. Farruko (Remix) (Official Music Video),2015-05-07,849855933.0, 2309038,   138754,   75968
254,DJSnakeVEVO,DJ Snake - Let Me Love You ft. Justin Bieber (Official Video),2016-11-29,848652883.0, 5676038,   211131,  157144
255,T-Series Bhakti Sagar,"हनुमान चालीसा Hanuman Chalisa I GULSHAN KUMAR I HARIHARAN, Full HD Video I Shree Hanuman Chalisa",2011-05-10,846475340.0, 2428612,   465199,  224025
256,Mountain Apple Company Inc,"OFFICIAL Somewhere over the Rainbow - Israel ""IZ"" Kamakawiwoʻole",2010-04-12,836410465.0, 5130294,   211890,  277791
257,OneDirectionVEVO,One Direction - Drag Me Down (Official Video),2015-08-21,833224074.0, 6788813,   218751,  636027
258,Jason Derulo,"Jason Derulo - ""Wiggle"" feat. Snoop Dogg (Official Music Video)",2014-05-21,830024482.0, 3631626,   226082,  108824
259,RahatFAKhanVEVO,Rahat Fateh Ali Khan - Zaroori Tha,2014-06-09,829525310.0, 3345829,   391840,  210201
260,T-Series,Guru Randhawa: Lahore (Official Video) Bhushan Kumar | Vee | DirectorGifty | T-Series,2017-12-14,823295024.0, 3925665,   477095,  245017
261,Its JoJo Siwa,JoJo Siwa - BOOMERANG (Official Video),2016-05-18,817002255.0, 4085392,   846192,       NULL
262,CaliyElDandeeVEVO,"Cali Y El Dandee - Por Fin Te Encontré ft. Juan Magan, Sebastian Yatra (Video Oficiel)",2015-09-25,816420400.0, 1807270,    93270,   60066
263,Codiscos,"Bella, Wolfine - Video Oficial",2017-09-30,815664429.0, 3207632,   278580,  155757
264,Tekashi 6ix9ine,"6ix9ine, Nicki Minaj, Murda Beatz - “FEFE” (Official Music Video)",2018-07-22,813508202.0, 6522936,   837573,  477985
265,BonJoviVEVO,Bon Jovi - It's My Life (Official Music Video),2009-06-17,812679950.0, 3662350,   131249,  120694
266,NickiMinajAtVEVO,Nicki Minaj - Super Bass,2011-05-05,811262243.0, 3188447,   366708,  411368
267,Ricardo Arjona,Ricardo Arjona - Fuiste tú feat. Gaby Moreno (Video Oficial),2012-02-09,809572494.0, 1477677,   126583,   58997
268,jbalvinVEVO,J. Balvin - Ginza (Official Video),2015-07-21,809419173.0, 3060868,   214191,  119075
269,YRF,"Swag Se Swagat | Song | Tiger Zinda Hai | Salman Khan, Katrina Kaif | Vishal & Shekhar, Irshad, Neha",2017-11-21,808665038.0, 3051070,   405556,  206632
270,CyndiLauperVEVO,Cyndi Lauper - Girls Just Want To Have Fun (Official Video),2009-10-25,807211873.0, 3022678,   152045,  122642
271,4NonBlondesVEVO,4 Non Blondes - What's Up (Official Video),2011-02-23,802214977.0, 3181840,   172474,  117776
272,Saad Lamjarred | سعد لمجرد,Saad Lamjarred - LM3ALLEM (Exclusive Music Video) |  (سعد لمجرد - لمعلم (فيديو كليب حصري,2015-05-02,801369039.0, 4420367,   418605,  201293
273,KarolGVEVO,"KAROL G, Anuel AA - Culpables",2018-09-14,798654210.0, 3266609,   222150,  106927
274,Ozuna,Ozuna - Tu Foto (Video Oficial) | Odisea,2017-04-28,797866515.0, 3179054,   235737,  151491
275,RihannaVEVO,Rihanna - What's My Name? ft. Drake,2010-11-12,797139192.0, 2302761,   118209,  162907
276,KatyPerryVEVO,Katy Perry - Part Of Me (Official),2012-03-21,796163180.0, 3309484,   166748,  216323
277,LordeVEVO,Lorde - Royals (US Version),2013-06-18,795732878.0, 3400598,   255646,  200558
278,ThaliaVEVO,Thalía - Desde Esa Noche (Premio Lo Nuestro 2016) ft. Maluma,2016-03-05,794191596.0, 1949730,   209794,  127196
279,LadyGagaVEVO,"Lady Gaga, Bradley Cooper - Shallow (A Star Is Born)",2018-09-27,790855559.0, 4985607,   157236,  143850
280,Coldplay,Coldplay - The Scientist,2011-05-27,787781565.0, 3431428,    98091,   90095
281,El Reino Infantil,Patitos Cua Cua Cua - Canciones y clásicos infantiles,2014-12-06,785502132.0, 1190469,   746842,   22226
282,KarolGVEVO,Karol G & Bad Bunny - Ahora Me Llama,2017-06-08,781789717.0, 3158421,   209504,  128523
283,OneDirectionVEVO,One Direction - Story of My Life,2013-11-03,781679431.0, 5544945,   201017,  577755
284,JustinBieberVEVO,Justin Bieber - Boyfriend (Official Music Video),2012-05-03,780074456.0, 4612738, 1025864,  635606
285,DopeLyrics,Perfect - Ed Sheeran (Lyrics),2017-11-29,780055486.0, 2985210,   182430,  112570
286,RaeSremmurdVEVO,Rae Sremmurd - No Type (Official Video),2014-09-17,779464168.0, 4410360,   293825,  157734
287,Post Malone,Post Malone - White Iverson,2015-07-19,779303266.0, 3999979,   246534,  172441
288,RaeSremmurdVEVO,Rae Sremmurd - Black Beatles ft. Gucci Mane (Official Video),2016-09-22,775349681.0, 5478895,   294556,  197673
289,Skrillex,SKRILLEX - Bangarang feat. Sirah [Official Music Video],2012-02-16,775236405.0, 5287572,   217233,  362056
290,wisinofficalVEVO,"Wisin - Adrenalina (Official Video) ft. Jennifer Lopez, Ricky Martin",2014-03-03,774951977.0, 1626951,   116935,   46329
291,CalvinHarrisVEVO,Calvin Harris - I Need Your Love (Official Video) ft. Ellie Goulding,2013-04-14,773565765.0, 2408002,    78806,   75073
292,NachoVEVO,"Nacho, Yandel, Bad Bunny - Báilame (Remix)",2017-08-11,771913989.0, 2523465,   187621,  117013
293,Alex Rose,"Alex Rose - Toda (Remix) Ft. Cazzu, Lenny Tavarez, Lyanno & Rauw Alejandro (Video Oficial)",2018-06-01,771597167.0, 2646155,   172575,   64093
294,Wunderbar Studios,"Maari 2 - Rowdy Baby (Video Song) | Dhanush, Sai Pallavi | Yuvan Shankar Raja | Balaji Mohan",2019-01-02,770421958.0, 2979010,   468204,  151606
295,ImagineDragonsVEVO,Imagine Dragons - Demons (Official Video),2013-05-07,769398513.0, 4973024,   108258,  177958
296,williamVEVO,will.i.am - Scream & Shout ft. Britney Spears (Official Music Video),2012-11-29,765867471.0, 3199626,   240434,  280910
297,BillieEilishVEVO,Billie Eilish - bad guy,2019-03-29,760415784.0,11926797,   812925,  570687
298,shakiraVEVO,Shakira - Perro Fiel (Official Video) ft. Nicky Jam,2017-09-15,758461218.0, 2608002,   248584,  114249
299,ToveLoVEVO,Tove Lo - Habits (Stay High) - Hippie Sabotage Remix,2014-04-04,757510501.0, 3656126,   136857,   85262
300,officialpsy,PSY (ft. HYUNA) - 오빤 딱 내 스타일 M/V,2012-08-14,756508022.0, 2364865,   494788,  364319
301,Bad Bunny,Bad Bunny - Amorfoda | Video Oficial,2018-02-15,755782215.0, 5736731,   400476,  347932
302,RihannaVEVO,Rihanna - Only Girl (In The World),2010-10-12,755108285.0, 2108787,    93934,  118172
303,EminemVEVO,Eminem - When I'm Gone (Official Music Video),2009-06-17,752659419.0, 4089075,   117274,  266591
304,HaAshVEVO,"HA-ASH - Perdón, Perdón (Primera Fila - Hecho Realidad [En Vivo])",2014-10-27,748889531.0, 2062316,   129005,   53323
305,ArianaGrandeVevo,Ariana Grande - Into You,2016-05-24,747887258.0, 3864401,   157707,  168557
306,ScorpionsVEVO,Scorpions - Wind Of Change (Official Music Video),2009-11-01,743926906.0, 2745650,   113570,   92364
307,El Reino Infantil,El Pollito Pío 3D - Canciones de la Granja de Zenón 2,2014-03-22,743874612.0, 1306030,   737519,   28964
308,jesseyjoyoficial,#Jesse&Joy - ¡Corre!,2011-12-02,743687172.0, 1608401,    98056,   82431
309,Hear This Music,Sensualidad - Bad Bunny X Prince Royce X J Balvin X Dj Luian X Mambo Kingz,2017-11-03,743186288.0, 3218481,   248363,  137436
310,michaeljacksonVEVO,Michael Jackson - Billie Jean (Official Video),2009-10-03,742328033.0, 3902383,   142130,  207834
311,BeyoncéVEVO,Beyoncé - Single Ladies (Put a Ring on It) (Video Version),2009-10-03,741637472.0, 2528556,   133519,  122755
312,JohnNewmanVEVO,John Newman - Love Me Again,2013-05-08,739060733.0, 3880567,   101771,  141961
313,AyoandTeoVEVO,Ayo & Teo - Rolex (Official Music Video),2017-05-26,738606617.0, 6618709,   363922,  280624
314,El Reino Infantil,Las Canciones de la Granja de Zenón - Lo Mejor de lo Mejor en HD - El Reino Infantil,2015-04-04,737772895.0, 1225581,   756678,   33531
315,SebastianYatraVEVO,Sebastián Yatra - No Hay Nadie Más,2018-01-26,737758313.0, 2730242,   109938,   80850
316,Bounce Patrol - Kids Songs,Halloween Baby Shark | Kids Songs and Nursery Rhymes | Halloween Songs from Bounce Patrol,2018-10-13,736064624.0, 1345949,   815797,   22001
317,ThePoliceVEVO,The Police - Every Breath You Take,2010-02-23,735757611.0, 2582673,    90254,   78438
318,T-Series,"SIMMBA: Aankh Marey Lyrical | Ranveer Singh, Sara Ali Khan | Tanishk Bagchi,Neha Kakkar, Kumar Sanu",2018-12-11,735455285.0, 1817107,   526072,   62221
319,BLACKPINK,BLACKPINK - 'Kill This Love' M/V,2019-04-04,734113880.0,11895962,   783330,1647609
320,shakiraVEVO,Shakira - Hips Don't Lie (Official Music Video) ft. Wyclef Jean,2009-10-03,732286235.0, 2989614,   115229,  148949
321,BackstreetBoysVEVO,Backstreet Boys - I Want It That Way,2009-10-25,730773508.0, 3268075,   127094,  167327
322,RockCityVEVO,R. City ft. Adam Levine - Locked Away (Official Video),2015-08-14,730429600.0, 3740739,   100019,   92655
323,KatyPerryVEVO,Katy Perry - This Is How We Do (Official),2014-07-31,729423928.0, 2710667,   234198,  137198
324,EuropeVEVO,Europe - The Final Countdown (Official Video),2009-10-25,729114231.0, 3135959,   135015,  160882
325,Clean Bandit,Clean Bandit - Solo (feat. Demi Lovato) [Official Video],2018-05-31,728504012.0, 4740741,   174292,  119887
326,NellyVEVO,Nelly - Dilemma ft. Kelly Rowland (Official Music Video),2009-10-05,728305378.0, 3448479,   143245,   98848
327,Ozuna,Ozuna - Te Vas (Video Oficial),2016-05-27,727394772.0, 2632175,   159384,  145528
328,Fueled By Ramen,Fun.: We Are Young ft. Janelle Monáe [OFFICIAL VIDEO],2011-12-28,726563895.0, 3889430,   113270,  207003
329,NoDoubtVEVO,No Doubt - Don't Speak (Official Music Video),2009-10-07,725627828.0, 2225135,   107438,   57965
330,KatyPerryVEVO,Katy Perry - The One That Got Away (Official),2011-11-11,725384692.0, 2652112,    85826,  179824
331,DisneyMusicVEVO,Auli'i Cravalho - How Far I'll Go,2016-12-12,724523120.0, 2353770,   307151,   85549
332,LMFAOVEVO,LMFAO - Sexy and I Know It (Official Video),2011-09-16,724486330.0, 3949788,   335618,  429779
333,HollywoodRecordsVEVO,Miley Cyrus - Party In The U.S.A.,2009-09-25,723351010.0, 2796981,   220927,  407194
334,Macklemore LLC,MACKLEMORE & RYAN LEWIS - CAN'T HOLD US FEAT. RAY DALTON (OFFICIAL MUSIC VIDEO),2013-04-17,722294748.0, 4327458,   124856,  205851
335,Ultra Music,Era Istrefi - Bonbon (Official Video),2016-03-07,721577210.0, 3953618,   212669,  225717
336,Alan Walker,Alan Walker - The Spectre,2017-09-15,719630366.0, 5911544,   147444,  346174
337,JenniferLopezVEVO,Jennifer Lopez - Ain't Your Mama,2016-05-06,719370652.0, 4086259,   266345,  186329
338,Paulo Londra,Paulo Londra ft Lenny Tavarez - Nena Maldicion (Official Video),2018-01-29,718693012.0, 3738296,   156719,  207462
339,Omarion,Omarion Ft. Chris Brown & Jhene Aiko - Post To Be (Official Music Video),2015-02-18,717324545.0, 2788940,   179081,   97651
340,SebastianYatraVEVO,"Sebastián Yatra, Mau y Ricky - Ya No Tiene Novio",2018-08-10,717122104.0, 2237388,   154736,   65665
341,PostMaloneVEVO,Post Malone - Psycho ft. Ty Dolla $ign,2018-03-23,716826143.0, 4399817,   183537,  113016
342,Bad Bunny,Bad Bunny - Soy Peor (Video oficial),2016-12-31,715938211.0, 3772937,   295692,  215650
343,Metallica,Metallica: Nothing Else Matters (Official Music Video),2009-10-27,714085037.0, 2573344,   167519,   75827
344,PitbullVEVO,Pitbull ft. Jennifer Lopez & Claudia Leitte - We Are One (Ole Ola) [Official Video],2014-05-16,713296278.0, 2951188,   318077,  213890
345,shakiraVEVO,Shakira - Me Enamoré (Official Video),2017-05-12,711048819.0, 3221131,   259564,  133557
346,PitbullVEVO,Pitbull - Give Me Everything,2011-05-06,709375817.0, 2259000,    85552,  134355
347,DrDreVEVO,Dr. Dre ft. Snoop Dogg - Still D.R.E. (Official Video),2011-10-27,708731954.0, 4487342,   142665,  176932
348,PitbullVEVO,Pitbull ft. Chris Brown - International Love (Official Video),2011-12-08,706975798.0, 1984247,    95784,  139216
349,EvanescenceVEVO,Evanescence - Bring Me To Life (Official Music Video),2009-12-02,706300748.0, 4891101,   133200,  199473
350,AquaVEVO,Aqua - Barbie Girl,2010-08-20,704203266.0, 3364736,   352378,  264895
351,Paulo Londra,Paulo Londra - Adan y Eva (Official Video),2018-11-05,704024499.0, 4588729,   215239,  236485
352,T-Series,"SIMMBA: Aankh Marey | Ranveer Singh, Sara Ali Khan | Tanishk Bagchi, Mika, Neha Kakkar,  Kumar Sanu",2018-12-06,702602548.0, 3290085,   588173,  149623
353,FARRUKOVEVO,"Farruko, Bad Bunny, Rvssian - Krippy Kush (Official Video)",2017-08-04,702306863.0, 3469843,   422005,  201645
354,KygoOfficialVEVO,Kygo - Firestone ft. Conrad Sewell (Official Video),2015-03-09,700530841.0, 2746967,    79527,   43833
355,T-Series,"Vaaste Song: Dhvani Bhanushali, Tanishk Bagchi | Nikhil D | Bhushan Kumar | Radhika Rao, Vinay Sapru",2019-04-06,699645287.0, 6014291,   417339,  196642
356,AviciiOfficialVEVO,Avicii - Waiting For Love,2015-06-26,698692625.0, 4776900,    99477,  211772
357,Zé Neto e Cristiano,Zé Neto e Cristiano - LARGADO ÀS TRAÇAS - Zé Neto e Cristiano Acústico,2018-01-30,698646357.0, 3002368,   194705,   61279
358,FARRUKOVEVO,Farruko - Chillax ft. Ky-Mani Marley (Official Video),2016-07-23,698027170.0, 1550023,   131292,   40321
359,KendrickLamarVEVO,Kendrick Lamar - HUMBLE.,2017-03-30,696779964.0, 5623017,   299381,  207018
360,T-Series,"DILBAR Lyrical | Satyameva Jayate |John Abraham, Nora Fatehi,Tanishk B, Neha Kakkar,Dhvani, Ikka",2018-07-09,695927163.0, 2437599,   345349,  129065
361,LadyGagaVEVO,Lady Gaga - Poker Face (Official Music Video),2009-12-20,694635013.0, 3122099,   164625,  203779
362,RihannaVEVO,Rihanna - Man Down,2011-06-02,694375218.0, 2705135,   132096,  149051
363,ArianaGrandeVevo,Ariana Grande - 7 rings,2019-01-18,693138590.0, 9785065,   456518,  583758
364,Big Hit Labels,BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) (feat. Halsey)' Official MV,2019-04-12,691455837.0,13845107,   847236,4447674
365,acdcVEVO,AC/DC - Thunderstruck (Official Video),2012-11-07,691281634.0, 2935705,   160350,   90028
366,Lizos Music,BANDA MS - EL COLOR DE TUS OJOS (VIDEO OFICIAL),2017-09-23,689885799.0, 1289948,   151091,   37682
367,Adexe & Nau,Adexe y Nau - Andas En Mi Cabeza  (Chino & Nacho ft. Daddy Yankee Cover),2016-05-14,689827455.0, 3526890,   512345,  453120
368,Ozuna,Ozuna - Dile Que Tu Me Quieres (Video Oficial) | Odisea,2016-09-16,688545212.0, 2811865,   179004,  115635
369,Daddy Yankee,Daddy Yankee ft Ozuna - La Rompe Corazones (Video Lyric Oficial),2017-01-06,687267616.0, 1537862,   126760,   61064
370,Marshmello,Marshmello & Anne-Marie - FRIENDS (Lyric Video) *OFFICIAL FRIENDZONE ANTHEM*,2018-02-09,686027998.0, 6316266,   185566,  268381
371,TaylorSwiftVEVO,Taylor Swift - Wildest Dreams,2015-08-31,685706114.0, 3571536,   186606,  206728
372,CalvinHarrisVEVO,Calvin Harris - Blame ft. John Newman,2014-09-12,685337470.0, 2380804,    79143,   43481
373,EDWIN DIAZTO,J Balvin BONITA feat. Jowell & Randy,2017-05-21,683356143.0, 1935963,   294509,   67402
374,EminemVEVO,Eminem ft. Rihanna - The Monster (Explicit) [Official Video],2013-12-17,680808009.0, 4004152,   127792,  140139
375,Planet Records Cuba / La Oficina Secreta,"OSMANI GARCIA  Ft. PITBULL, SENSATO, DAYAMI LA MUSA - El Taxi (Official Video) Reggaeton Cubaton",2014-06-23,679716495.0, 1655237,   324266,  106275
376,StromaeVEVO,Stromae - Papaoutai (Clip Officiel),2013-06-06,679396527.0, 3613860,   175915,  176075
377,JessieJVEVO,Jessie J - Price Tag ft. B.o.B,2011-01-25,679257268.0, 2952825,   128436,  183967
378,Harlem Fetty,Fetty Wap  - Trap Queen (Official Video) Prod. By Tony Fadd,2014-08-07,673402804.0, 3510323,   213361,  153475
379,bonnietylerVEVO,Bonnie Tyler - Total Eclipse of the Heart (Video),2009-11-15,673021013.0, 2848175,   130725,  105915
380,MTZ Manuel Turizo,Esperándote - MTZ Manuel Turizo | Video Oficial,2017-12-06,672709352.0, 1780426,    95043,   49875
381,michaeljacksonVEVO,Michael Jackson - They Don’t Care About Us (Brazil Version) (Official Video),2009-10-03,671906429.0, 4691767,   161454,  207022
382,Charlie Puth,Charlie Puth - One Call Away [Official Video],2015-09-14,667330371.0, 3681051,   112142,  128677
383,ImagineDragonsVEVO,Imagine Dragons - Whatever It Takes,2017-10-12,665583025.0, 3968615,   115846,  100718
384,SHMVEVO,Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video),2012-09-14,664944888.0, 3402163,    84309,  140731
385,SelenaGomezVEVO,Selena Gomez - The Heart Wants What It Wants (Official Video),2014-11-06,663247802.0, 4251085,   144574,  173680
386,EnriqueIglesiasVEVO,"Enrique Iglesias, Juan Luis Guerra - Cuando Me Enamoro",2010-05-18,662202722.0, 1455060,    80944,   47185
387,laadictivaVEVO,"La Adictiva Banda San José de Mesillas - Después de Ti, ¿Quién? (Video Oficial)",2015-02-20,660705820.0, 1163410,   121128,   32624
388,Pica - Pica Oficial,Pica Pica - Popurrí de Autobús (Videoclip Oficial) - English Pitinglish,2016-03-04,660437069.0, 1607196,   907411,   11627
389,ZaraLarssonMusicVEVO,Zara Larsson - Lush Life (Official Music Video),2015-07-01,660407733.0, 3566881,   110414,  126866
390,SimoneSimariaVEVO,Simone & Simaria - Loka (Ao Vivo) ft. Anitta,2017-01-06,658046328.0, 3354354,   297524,  164750
391,Red Hot Chili Peppers,Red Hot Chili Peppers - Californication [Official Music Video],2009-10-27,655938090.0, 2425402,    98990,   88181
392,Maroon5VEVO,Maroon 5 - Moves Like Jagger ft. Christina Aguilera (Official Music Video),2011-08-09,655032714.0, 2498828,   101297,  124450
393,SelenaGomezVEVO,Selena Gomez - Come & Get It,2013-05-07,653775975.0, 3506421,   214001,  316884
394,TheWeekndVEVO,The Weeknd - I Feel It Coming ft. Daft Punk,2017-03-10,653181512.0, 3378259,   156499,  149618
395,MalumaVEVO,Maluma - HP (Official Video),2019-03-01,653026669.0, 2796096,   203169,   79267
396,SeanPaulVEVO,Sean Paul - No Lie ft. Dua Lipa,2017-01-10,652687955.0, 3419391,   105129,   69710
397,La Granja de Zenón,Bartolito - La Granja de Zenón 3,2015-11-14,651872836.0, 1224080,   733830,    4303
398,LuisFonsiVEVO,"Luis Fonsi, Daddy Yankee - Despacito (Remix) (Official Audio) ft. Justin Bieber",2017-04-17,651638230.0, 5866419,   587323,  405353
399,OneDirectionVEVO,One Direction - Best Song Ever,2013-07-22,651320224.0, 4854444,   338762,  864400
400,Atlantic Records,"Lil Wayne, Wiz Khalifa & Imagine Dragons w/ Logic & Ty Dolla $ign ft X Ambassadors - Sucker for Pain",2016-06-25,650464571.0, 4724901,   170994,  134541
401,Big Hit Labels,BTS (방탄소년단) 'FAKE LOVE' Official MV,2018-05-18,649135383.0,11288802,   470050,2461665
402,BonJoviVEVO,Bon Jovi - Livin' On A Prayer (Official Music Video),2009-06-17,648543663.0, 2492719,    96848,   97349
403,RickAstleyVEVO,Rick Astley - Never Gonna Give You Up (Video),2009-10-25,648353730.0, 4636162,   185789,  702840
404,Marshmello,Marshmello & Anne-Marie - FRIENDS (Music Video) *OFFICIAL FRIENDZONE ANTHEM*,2018-02-16,648098188.0, 7354224,   200898,  252583
405,littlemixVEVO,Little Mix - Black Magic (Official Video),2015-05-29,646723140.0, 4567106,   187038,  157829
406,JonasBlueVEVO,Jonas Blue - Mama ft. William Singe,2017-05-18,646106587.0, 3334504,   121042,   65335
407,SiaVEVO,Sia - The Greatest (Official Music Video),2016-09-06,645810558.0, 4311343,   189206,  184783
408,Thisiz Balti,Balti - Ya Lili feat. Hamouda (Official Music Video),2017-10-28,645608408.0, 4525561,   387341,  256875
409,michaeljacksonVEVO,Michael Jackson - Thriller (Official Video),2009-10-03,645014330.0, 3789771,   224516,  339322
410,RobinThickeVEVO,"Robin Thicke - Blurred Lines ft. T.I., Pharrell (Official Music Video)",2013-03-20,644395072.0, 2692715,   295173,  194670
411,Chill Nation,Dynoro & Gigi D’Agostino - In My Mind,2018-07-21,644330133.0, 5771958,   182305,  199976
412,EvanescenceVEVO,Evanescence - My Immortal (Official Music Video),2009-12-02,642916454.0, 3649424,    99410,  158147
413,KhalidVEVO,Khalid - Young Dumb & Broke (Official Music Video),2017-08-01,640758623.0, 4122698,   170065,  132788
414,jbalvinVEVO,"J. Balvin, Zion & Lennox - No Es Justo (Official Video)",2018-06-29,640513516.0, 1819501,   128775,   40717
415,1theK (원더케이),[MV] BTS(방탄소년단) _ FIRE (불타오르네),2016-05-01,640509088.0, 6705967,   244968,  570655
416,Biper y sus Amigos,Biper y sus Amigos - El Patito Juan,2016-11-04,640412928.0,        NULL,        NULL,      226
417,ChildishGambinoVEVO,Childish Gambino - This Is America (Official Video),2018-05-06,638950911.0, 8954303,   682615,  712360
418,Piso 21,Piso 21 - Me llamas (Feat. Maluma) [Remix],2016-12-02,638696851.0, 1480852,    93643,   38007
419,T-Series,"Cham Cham Full Video | BAAGHI | Tiger Shroff, Shraddha Kapoor| Meet Bros, Monali Thakur| Sabbir Khan",2016-05-06,638551391.0, 1356655,   315767,   51020
420,T-Series,"Badri Ki Dulhania (Title Track) Varun, Alia, Tanishk, Neha, Monali, Ikka | ""Badrinath Ki Dulhania""",2017-02-06,638544520.0, 1551194,   286383,   64035
421,Maroon5VEVO,Maroon 5 - Animals (Official Music Video),2014-09-29,637157758.0, 3629601,   183238,  143416
422,ArianaGrandeVevo,"Ariana Grande, The Weeknd - Love Me Harder",2014-11-03,636342029.0, 3263484,   150006,  147180
423,OneDirectionVEVO,One Direction - One Thing,2012-01-13,635998806.0, 3296001,   147889,  420485
424,Bruno Mars,Bruno Mars - Finesse (Remix) (feat. Cardi B] [Official Video],2018-01-04,635396380.0, 4688548,   286422,  252659
425,SilvestreDangondVEVO,"Silvestre Dangond, Nicky Jam - Cásate Conmigo (Official Video)",2017-09-15,634629474.0, 1908522,   183752,   56051
